word,onset,offset
the,44.49,44.580000000000005
inflation,44.58,45.08
rate,45.08,45.35
and,45.45,45.61
if,45.61,45.73
so,45.82,46.27
wouldn't,46.51,46.72
that,46.719999,46.869999
be,46.88,46.99
a,46.99,47.04
betrayal,47.04,47.62
of,47.62,47.73
its,47.73,47.900000000000006
mission,47.91,48.37
and,49.49,49.620000000000005
he,49.62,49.83
looks,49.83,50.05
at,50.049999,50.159999
me,50.16,50.31
like,50.309999,50.569999
what,50.639999,51.079999
are,51.389999,51.559999000000005
you,51.559999,51.729999
talking,51.82,52.33
about,52.34,52.690000000000005
punk,53.27,53.59
and,54.190001,54.370001
then,54.37,54.52
right,54.52,54.78
then,54.78,54.96
outta,54.96,55.05
the,55.389999,55.409999000000006
corner,55.41,55.61
of,55.61,55.7
my,55.7,55.900000000000006
eye,55.95,56.23
comes,56.25,56.55
this,56.56,56.86
blur,57.3,57.95
which,58.26,58.45
becomes,58.49,59.02
the,59.08,59.23
figure,59.31,60.0
in,60.07,60.29
a,60.29,60.44
lone,60.45,60.8
ranger's,60.8,61.31
mask,61.34,61.73
standing,62.45,62.86
next,62.86,63.11
to,63.12,63.23
me,63.23,63.6
with,63.67,63.86
a,63.86,63.91
cream,63.91,64.19
pie,64.19,64.44
which,64.44,64.64999999999999
becomes,64.67,64.99
,,
guy,65.139999,65.839999
with,66.46000000000001,66.67
a,66.67,66.72
cream,66.719999,67.039999
pie,67.03999999999999,67.55999999999999
that,67.65,67.85000000000001
he's,67.87,68.07000000000001
mashing,68.21000000000001,68.87
into,68.91,69.2
dean,69.2,69.52
McGowan’s,69.52,69.94
face,70.12,70.31
and,71.94999899999999,72.149999
then,72.15,72.4
runs,72.8,73.1
away,73.1,73.39999999999999
the,75.09,75.2
dean,75.2,75.7
is,76.25,76.29
covered,76.33,76.95
with,77.01,77.26
cream,77.26,77.54
so,78.43,78.55000000000001
i,78.55,78.61
give,78.61,78.79
him,78.79,78.89
a,78.89,78.95
moment,78.95,79.4
and,80.76,80.87
then,80.87,80.97
i,80.97,81.03
say,81.03,81.18
dean,81.179999,81.38999899999999
McGowan,81.44,81.95
would,81.95,82.04
you,82.03999999999999,82.17999999999999
care,82.179999,82.399999
to,82.4,82.5
comment,82.5,82.89
on,83.0,83.13
this,83.13,83.16
latest,83.259999,83.649999
attack,83.69,84.14999999999999
and,85.049999,85.199999
he,85.2,85.32000000000001
says,85.33,85.55
yes,85.59,85.95
i,86.53999999999999,86.64999999999999
would,86.65,86.84
care,86.839999,87.00999900000001
to,87.009999,87.099999
comment,87.099999,87.719999
screw,88.32,88.91
you,89.289999,89.629999
and,90.5,90.64
now,90.64,90.76
i,90.76,90.88
race,90.88,91.26
back,91.27,91.5
to,91.5,91.62
the,91.62,91.7
newsroom,91.7,92.08
with,92.1,92.28
my,92.28,92.45
scoop,92.48,92.87
and,92.87,92.99
i,92.99,93.06
find,93.06,93.28
the,93.28,93.42
editor,93.42,93.87
he's,94.2,94.37
a,94.37,94.41
guy,94.41,94.66
named,94.66,94.96
jim,95.04,95.31
Dwyer,95.55,95.99
he's,95.99,96.19
a,96.19,96.28
senior,96.3,96.68
and,96.68,96.8
he's,96.8,96.96
a,96.96,97.03
big,97.13,97.34
guy,97.34,97.61
and,97.62,97.66
he's,97.67,97.87
going,97.87,97.97
to,97.97,98.04
go,98.04,98.26
on,98.26,98.46
to,98.46,98.56
win,98.559999,98.699999
a,98.7,98.75
pulitzer,98.75,99.12
prize,99.12,99.45
so,99.639999,99.829999
i,99.83,99.96
tell,99.98,100.17
him,100.17,100.24
what,100.24,100.38
i've,100.38,100.47
seen,100.559999,100.739999
and,100.74,100.86
i,100.86,100.93
pitch,100.929999,101.179999
him,101.179999,101.279999
my,101.28,101.45
story,101.48,101.95
and,102.179999,102.309999
he,102.309999,102.419999
says,103.769999,103.799999
dean,103.799999,103.829999
,,
that,104.63,104.8
guy's,104.799999,104.949999
a,104.95,105.08
dick,105.179999,105.269999
write,105.9,106.18
it,106.18,106.32
up,106.32,106.49
and,107.219999,107.359999
now,107.359999,107.479999
i'm,107.48,107.62
pounding,107.619999,108.079999
out,108.09,108.18
my,108.18,108.21
story,108.35,108.85
and,109.17,109.29
i,109.289999,109.419999
know,109.43,109.7
it's,109.7,109.9
good,109.9,110.21
but,111.22,111.4
then,111.4,111.56
i,111.56,111.66
start,111.66,112.11
to,112.16,112.31
make,112.31,112.59
it,112.62,112.8
better,113.65,114.22
by,115.46,115.69
adding,115.71,116.04
an,116.04,116.14
element,116.17,116.69
of,117.639999,117.829999
embellishment,117.83,118.46
now,118.75,119.03
reporters,119.15,119.78
call,119.84,120.11
this,120.11,120.33
making,121.11,121.63
stuff,121.63,121.95
up,122.0,122.25
and,122.94,123.21
they,123.21,123.5
they,123.589999,123.809999
recommend,123.809999,124.359999
against,124.359999,124.789999
it,124.789999,124.949999
but,125.91,126.22
i,126.889999,127.239999
had,127.38,127.58
just,127.58,127.91
seen,127.92,128.35
the,128.86,129.0
line,129.0,129.34
crossed,129.34,129.69
between,129.77,130.07000000000002
assault,130.07,130.5
with,130.5,130.65
a,130.65,130.70000000000002
pastry,130.7,131.31
and,131.67,131.80999999999997
a,131.81,131.87
high,131.87,132.08
powered,132.08,132.41000000000005
dean,132.44,132.76
and,133.01,133.2
i,133.2,133.42999999999998
kind,133.48,133.78
of,133.78,133.96
liked,133.98,134.35
it,134.349999,134.479999
so,134.5,134.63
the,134.63,134.76999999999998
first,134.82,135.13
thing,135.13,135.32
i,135.32,135.45
did,135.49,135.74
is,135.78,135.95
i,135.95,136.07999999999998
gave,136.099999,136.419999
the,136.42,136.51999999999998
figure,136.52,137.0
a,137.04,137.13
name,137.13,137.57999999999998
i,137.95,138.11
called,138.11,138.36
him,138.36,138.46
pie,138.5,138.82
man,138.849999,139.109999
capital,139.11,139.49
p,139.549999,139.929999
capital,140.17,140.61999999999998
m,140.65,140.96
and,141.38,141.56
i,141.559999,141.619999
described,141.62,142.14
him,142.139999,142.249999
as,142.25,142.37
a,142.369999,142.379999
cape,142.579999,142.609999
wearing,142.969999,143.529999
masked,143.639999,144.179999
avenger,144.35,144.98999999999998
although,145.79,146.39
actually,146.87,147.41
he'd,147.45,147.61999999999998
been,147.64,147.86999999999998
capeless,147.99,148.47
and,149.32,149.48999999999998
i,149.49,149.58
said,149.61,149.88000000000002
that,150.13,150.41
as,150.49,150.67000000000002
he,150.67,150.89999999999998
fled,151.21,151.48000000000002
the,151.48,151.59
scene,151.61,151.95000000000002
he,151.96,152.19
clicked,152.33,152.67000000000002
his,152.72,152.96
heels,153.09,153.59
with,153.599999,153.779999
rakish,153.809999,154.349999
glee,154.4,154.75
and,156.19,156.39
then,156.389999,156.52999899999998
i,156.53,156.59
gave,156.59,156.82
him,156.82,156.98
a,156.98,157.31
catchphrase,157.639999,158.20999899999998
in,159.32,159.57999999999998
latin,159.58,159.91000000000005
i,161.309999,161.449999
said,161.449999,161.67999899999998
that,161.68,161.82
,,
,,
,,
away,162.4,162.75
he,162.75,162.88
cried,162.88,163.24
ego,163.3,163.72
sum,163.75,163.89
non,164.51,164.97
an,164.98,165.0
bestia,165.39,166.0
which,166.64,166.85
means,166.85,167.13
i,167.5,168.09
am,168.14,168.39
not,168.39,168.79
an,168.96,169.17000000000002
animal,169.19,169.78
which,170.5,170.82
makes,170.83,171.38000000000002
no,171.5,172.0
sense,172.04,172.38
uh,173.559999,173.689999
fordham,173.82,174.19
was,174.19,174.35
a,174.349999,174.409999
catholic,174.41,174.82999999999998
school,174.83,175.22
and,175.219999,175.479999
we,175.62,175.86
all,175.86,176.09
thought,176.09,176.41
latin,176.79,177.26999999999998
was,177.27,177.55
classy,177.639999,178.159999
so,178.25,178.58
that's,178.690001,178.950001
what,178.949999,179.109999
i,179.109999,179.20999899999998
used,179.219999,179.719999
and,180.449999,180.659999
when,180.66,180.77
i,180.77,180.85
finish,180.85,181.15
my,181.15,181.21
story,181.31,181.73
i,181.73,181.93
i,181.98,182.19
,,
back,182.64,182.89
to,182.89,182.95
Dwyer,183.12,183.57
and,183.57,183.6
i,183.77,183.78
showed,183.78,183.95
it,183.95,184.05
to,184.05,184.14
him,184.14,184.23
and,184.23,184.31
he,184.31,184.41
read,184.41,184.68
it,184.68,184.83
and,184.85,185.0
he,185.0,185.12
said,185.12,185.41
pie,186.32,186.56
man,186.61,186.8
i,188.099999,188.259999
love,188.26,188.62
it,188.62,188.74
page,189.48,189.82
one,189.82,190.17
few,192.16,192.32
days,192.32,192.59
later,192.59,193.07
i,193.63,193.71
get,193.71,193.93
a,193.929999,193.999999
letter,194.0,194.44
i,194.849999,194.949999
open,194.95,195.2
it,195.2,195.3
up,195.309999,195.459999
and,195.46,195.57
it,195.57,195.68
says,195.719999,195.969999
dear,196.190001,196.400001
jim,196.440001,196.720001
good,198.0,198.24
story,198.24,198.75
nice,198.76,199.13
details,199.28,199.86
if,200.9,201.04
you,201.07,201.23
want,201.23,201.44
to,201.44,201.56
see,201.57,201.76
me,201.76,201.94
again,201.94,202.4
in,202.41,202.68
action,202.68,203.12
be,203.92,204.14
on,204.14,204.3
the,204.3,204.41000000000005
steps,204.42,204.77
of,204.77,204.88
duane,204.88,205.19
library,205.19,205.77
at,205.81,205.96
three,205.96,206.22
pm,206.22,206.57
on,206.809999,207.019999
tuesday,207.02,207.53
signed,207.61,208.03
pie,209.37,209.62
man,209.67,209.88
and,211.719999,211.919999
i,211.92,212.02
was,212.02,212.23
there,212.25,212.59
with,213.299999,213.59999900000005
a,213.599999,213.659999
photographer,213.66,214.44
for,215.0,215.24
the,215.24,215.36
ram,215.359999,215.659999
and,215.66,215.84
sure,215.85,216.26
enough,216.26,216.55
out,217.09,217.32
comes,217.32,217.48
student,217.52,217.9
body,217.92,218.23
president,218.23,218.77
sheila,218.78,219.32
Beale,219.39,219.71
and,219.75,219.88
now,219.88,220.09
sheila,220.78,221.29
Beale,221.36,221.8
was,221.83,222.22
different,222.27,222.62
from,222.64,222.78
the,222.78,222.87
rest,222.87,223.2
of,223.2,223.33
us,223.33,223.7
flannel,223.78,224.22
shirt,224.23,224.48
wearing,224.48,224.91
part,225.139999,225.409999
time,225.41,225.7
job,225.7,226.09
working,226.09,226.7
fordham,226.73,227.07
students,227.09,227.37
sheila,228.0,228.48
was,228.49,229.02
well,229.49,229.85
bred,229.849999,230.659999
sheila,230.86,231.18
had,231.19,231.72
school,232.199999,232.819999
spirit,233.199999,233.569999
sheila,234.690001,235.050001
was,235.06,235.34
exactly,235.58,236.17
the,236.17,236.28
kind,236.28,236.52
of,236.52,236.62
student,236.63,236.93
that,236.98,237.17
dean,237.17,237.47
McGown,237.47,238.03
wanted,238.19,238.57
more,238.57,238.83
of,238.83,239.04
and,239.75,239.92
actually,239.93,240.54
sheila,240.64,241.08
and,241.09,241.24
the,241.24,241.33
dean,241.33,241.79
had,241.82,242.05
recently,242.05,242.59
collaborated,242.59,243.38
to,243.389999,243.539999
ban,243.57,243.95
all,244.33,244.75
outdoor,244.77,245.09
drinking,245.09,245.54
on,245.58,245.78
campus,245.809999,246.209999
the,246.21,246.37
infamous,246.41,247.01
no,247.08,247.34
more,247.34,247.61
beer,247.66,248.03
at,248.04,248.18
barbecues,248.179999,248.759999
rule,248.759999,249.129999
because,249.53,249.87
sheila,249.88,250.16
thought,250.23,250.42
drinking,250.440001,250.850001
in,250.92,251.07
public,251.07,251.51
was,252.18,252.39
in,252.39,252.56
poor,252.629999,253.059999
taste,253.04,253.08
so,255.43,255.83
i,256.35,256.45000000000005
think,256.45,256.5
you,256.79,256.98
know,256.99,257.44
what,257.99,258.18
happens,258.19,258.65
next,258.65,258.87
pie,260.51,260.76
man,260.8,261.18
emerged,261.22,262.19000000000005
from,262.27,262.44
behind,262.44,262.74
a,262.74,262.81
late,262.809999,263.069999
night,263.07,263.33
library,263.33,263.78
drop,263.78,264.11999999999995
box,264.13,264.54
made,264.92,265.22
his,265.219999,265.379999
delivery,265.42,266.04
and,266.08,266.33
fled,266.48,266.72
away,266.719999,267.019999
crying,267.309999,267.909999
ego,268.66,269.02000000000004
sum,269.41,269.54
non,269.779999,270.389999
an,270.41,270.43
bestia,270.95,271.27
and,272.67,272.84000000000003
that's,272.85,273.26
what,273.26,273.29
i,273.46,273.54
reported,273.54,274.16
in,274.16,274.23
my,274.23,274.49
story,274.51,274.92
the,274.92,275.03000000000003
next,275.03,275.30999999999995
day,275.31,275.66
in,275.7,275.84
the,275.84,275.94
ram,275.94,276.35
which,276.41,276.64000000000004
ran,276.64,276.88
with,276.88,277.05
a,277.05,277.12
giant,277.16,277.73
photo,277.76,278.13
of,278.16,278.37
pie,278.389999,278.689999
man,278.73,279.01
leaping,279.48,279.97
into,279.969999,280.199999
the,280.2,280.38
air,280.38,280.82
and,280.88,281.15
clicking,281.24,281.62
his,281.62,281.81
heels,281.84,282.39
with,282.79,282.98
his,282.98,283.18
cape,283.179999,283.64999900000004
flowing,284.02,284.47
behind,284.469999,284.919999
him,284.919999,284.93999899999994
and,285.56999899999994,285.74999899999995
that's,286.27,286.35
what,286.35,286.53000000000003
made,286.529999,286.769999
him,286.77,286.87
a,286.940001,286.950001
sensation,287.02,287.92
on,287.949999,288.189999
campus,288.190001,288.610001
people,289.05,289.31
started,289.31,289.67
dressing,289.71,290.32
like,290.32,290.53
him,290.56,290.77
at,290.77,290.95
parties,290.96,291.57
and,291.57,291.89
quoting,292.25,292.83
him,292.83,293.09
in,293.09,293.23
class,293.3,293.81
the,294.28,294.42999999999995
ram,294.43,294.90000000000003
ran,295.1,295.43
five,295.47,295.96000000000004
major,295.96,296.26
stories,296.26,296.58
about,296.59,296.83
pie,296.83,297.1
man,297.139999,297.379999
for,297.45,297.51
the,297.53,297.67
rest,297.67,297.88
of,297.88,297.96
that,297.96,298.12
semester,298.12,298.58
all,298.62,298.9
of,298.91,299.07000000000005
them,299.07,299.18
by,299.19,299.44
me,299.49,299.65000000000003
and,300.87,301.04
on,301.04,301.13
the,301.13,301.24
last,301.24,301.53000000000003
day,301.53,301.64
of,301.639999,301.739999
campus,301.74,302.16
sorry,302.63,303.03
the,303.03,303.16
last,303.16,303.45000000000005
day,303.45,303.57
of,303.57,303.69
classes,303.69,304.23
i,304.23,304.32
went,304.459999,304.689999
off,304.699999,304.969999
campus,304.99,305.38
to,305.49,305.64
a,305.639999,305.699999
bar,306.87,306.9
just,306.9,307.06
to,307.1,307.45000000000005
celebrate,307.75,308.43
and,308.47,308.59000000000003
as,308.59,308.73
i,308.73,308.79
walked,308.79,309.17
in,309.17,309.33000000000004
i,309.33,309.54
i,309.63,309.92
saw,310.17,310.39000000000004
outta,310.39,310.5
the,310.5,310.59
corner,310.59,310.84
of,310.84,310.9
my,310.9,311.12
eye,311.12,311.43
angela,312.55,313.09000000000003
from,313.34,313.51
my,313.51,313.68
brit,313.69,313.94
lit,313.94,314.12
class,314.16,314.49
having,314.73,314.97
a,314.97,315.02000000000004
drink,315.02,315.28
with,315.28,315.42
a,315.42,315.47
few,315.469999,315.649999
of,315.65,315.72
her,315.719999,315.849999
friends,315.849999,316.21999900000003
and,316.219999,316.349999
now,316.349999,316.629999
angela,317.15,317.59
and,317.59,317.71
i,317.71,317.96
had,317.969999,318.089999
been,318.139999,318.319999
flirting,318.71,319.13
for,319.5,319.69
months,319.69,320.0
or,320.66,321.03000000000003
she,321.75,322.01
had,322.029999,322.05999899999995
been,322.059999,322.319999
i,323.059999,323.549999
i,323.67,323.95
actually,323.949999,324.319999
had,324.32,324.42
been,324.42,324.57
flirting,324.59,324.95
with,324.95,325.12
her,325.12,325.48
and,325.98,326.19
with,326.19,326.33
such,326.33,326.55
nuance,326.56,327.33
that,327.82,328.13
there,328.15,328.29999999999995
was,328.3,328.40000000000003
a,328.4,328.47
question,328.47,328.81
about,328.82,329.05
whether,329.05,329.3
she,329.3,329.54
even,329.54,329.89000000000004
knew,329.89,330.16
i,330.16,330.28000000000003
existed,330.28,330.89
so,331.71,331.86
i,331.86,331.95
saw,331.95,332.24
her,332.26,332.42
there,332.42,332.75
and,332.75,332.89
made,332.9,333.11
a,333.11,333.18
mental,333.23,333.54
note,333.55,333.78000000000003
to,333.809999,333.939999
do,333.94,334.15
nothing,334.15,334.48999999999995
about,334.5,334.83
it,334.83,334.97
and,335.59,335.76
then,335.759999,335.879999
i,335.88,335.94
went,335.94,336.14
to,336.139999,336.219999
the,336.219999,336.339999
bar,336.34,336.88
and,336.94,337.11
ordered,337.12,337.46
a,337.46,337.53
drink,337.53,337.84
and,338.15,338.29
i,338.29,338.46000000000004
felt,338.509999,338.789999
a,338.79,339.07
a,339.42,339.53000000000003
tap,339.53,339.92999999999995
on,339.929999,340.039999
my,340.039999,340.179999
shoulder,340.18,340.92
i,341.26,341.45
turned,341.449999,341.739999
around,341.74,342.15000000000003
and,342.9,343.04999999999995
it,343.05,343.13
was,343.13,343.31
her,343.35,343.68
it,343.69,343.72
was,344.22,344.41
angela,344.41,344.69
and,345.73,345.83000000000004
she,345.83,345.98
said,345.99,346.23
jim,346.29,346.57
we,346.73,346.92
were,346.92,347.05
just,347.05,347.25
talking,347.3,347.66
about,347.66,347.92
how,347.92,348.06
you,348.06,348.47
always,348.64,349.4
seem,349.45,349.75
to,349.78,349.92
know,349.92,350.42
when,350.74,351.38
and,351.66,351.94
where,351.94,352.54
pie,352.98,353.21000000000004
man,353.259999,353.539999
will,353.54,353.71000000000004
hit,353.74,353.94
so,354.37,354.55
we,354.55,354.71000000000004
were,354.71,354.88
wondering,354.88,355.48
are,356.589999,356.769999
you,356.77,357.2
pie,358.209999,358.549999
man,358.609999,358.919999
and,361.26,361.43
i,361.43,361.51
knew,361.62,362.0
i,362.03,362.2
knew,362.26,362.65
by,362.69,362.85
the,362.87,362.97
way,362.97,363.17
she,363.17,363.4
asked,363.42,363.76
me,363.76,363.89
that,364.14,364.26
if,364.26,364.41
i,364.41,364.56
said,364.58,364.77
yes,364.77,365.02
she,365.69,365.96
would,365.96,366.1
have,366.1,366.31
sex,366.33,366.64
with,366.64,366.7
me,366.88,366.9
and,368.51,368.82
wasn't,369.14,369.42
i,369.61,369.94
really,369.95,370.52
pie,370.65,370.99
man,371.01,371.44
hadn't,372.469999,372.719999
i,372.79,372.99
brought,373.02,373.48
him,373.509999,373.849999
into,373.96,374.25
existence,374.25,374.9
didn't,375.059999,375.289999
she,375.299999,375.479999
only,375.48,375.74
know,375.75,376.02
about,376.02,376.32
him,376.35,376.5100000000001
because,376.539999,376.839999
of,376.84,376.97
me,376.969999,377.369999
but,378.699999,378.979999
actually,379.9,380.59
angela,380.95,381.4
had,381.41,381.56
asked,381.56,381.86
me,381.86,381.93
a,382.27,382.37
straightforward,382.37,383.05
question,383.05,383.53
that,383.69,383.83
came,383.83,384.05
with,384.05,384.17
a,384.17,384.23
straightforward,384.23,384.82
answer,384.82,385.22
i,385.5,385.68
was,385.68,385.85
not,385.85,386.09
pie,386.099999,386.309999
man,386.36,386.61
as,386.84,386.97
far,386.97,387.2000000000001
as,387.2,387.34
i,387.34,387.41
knew,387.41,387.75
i,387.79,387.94
had,387.94,388.07
never,388.07,388.29
met,388.29,388.52
the,388.52,388.63
guy,388.63,389.03
out,389.17,389.33
of,389.33,389.46
costume,389.49,390.03
so,391.599999,392.059999
i,392.309999,392.519999
said,392.53,392.94
yes,394.559999,394.919999
angela,395.18,395.84
i,396.59,396.86
am,396.86,397.19
pie,397.58,397.83
man,398.0,398.07
and,399.56,399.62
she,399.62,399.81
looked,399.81,400.0
at,400.0,400.08
me,400.12,400.33
she,400.36,400.52
said,400.52,400.76
oh,400.81,401.21
good,401.43,401.86
i,402.92,403.0
was,403.0,403.13
hoping,403.13,403.42
you'd,403.42,403.62
say,403.63,403.85
that,403.85,404.17
now,405.52,405.64
buy,405.639999,405.949999
me,405.95,406.08
a,406.08,406.14
beer,406.139999,406.599999
and,407.2,407.36
tell,407.41,407.61
me,407.61,407.77
all,407.77,408.0
about,408.0,408.38
it,408.39,408.41
